gdp_per_capita,life_expectancy,social_support,score
0.63244,0.59772,1.2334507463086184,6.003
1.16891,0.78902,1.3233147437780814,5.995
1.27074,0.99111,1.3898304512916035,5.987
1.24461,0.96538,1.364386107031053,5.984
0.86402,0.79075,1.2858973470127102,5.975
1.32376,0.74716,1.362960791023571,5.96
1.25114,0.95446,1.3549004147815704,5.948
0.68133,0.5392,1.2164721637681448,5.89
0.59448,0.61826,1.1847478342395048,5.889
0.75985,0.66098,1.245059366987921,5.878
1.12254,0.64368,1.306571375269181,5.855
1.18498,0.87337,1.3598362942131998,5.848
1.14723,0.73128,1.2885974227225867,5.833
0.59325,0.74314,1.2237277664944766,5.828
0.90019,0.73017,1.26581640705941,5.824
1.03192,0.73608,1.287376776685888,5.813
1.12555,0.77903,1.325395948741106,5.791
1.12486,0.72394,1.3155626079878522,5.77
1.08254,0.78805,1.2855468262011338,5.759
1.13145,0.7038,1.302016227141111,5.754
1.13764,0.66926,1.287515654972064,5.716
0.81038,0.68741,1.243515942191377,5.709
1.20806,0.92356,1.3481975611615191,5.695
1.20813,0.92356,1.3395602732457494,5.689
0.93929,0.61766,1.2197600489983251,5.605
0.80148,0.63132,1.1898500041176536,5.589
0.95847,0.53886,1.2267174176727125,5.548
1.00761,0.7095,1.2564080390583352,5.477
1.38604,1.01328,1.374102391088852,5.474
1.15174,0.77361,1.2742988559323465,5.429
0.82827,0.63793,1.192634559274698,5.399
0.63216,0.74676,1.1784822744287715,5.36
1.06098,0.73172,1.2136187581483824,5.332
0.47428,0.65088,1.1072500143726784,5.286
0.65435,0.16007,1.0640818837272927,5.268
0.77042,0.57407,1.1613857133317609,5.253
1.02389,0.64045,1.1943380652048263,5.212
0.59543,0.51466,1.0666668080236783,5.194
0.90198,0.69639,1.1824462313990942,5.192
0.97438,0.72521,1.175112460077459,5.192
0.89012,0.81658,1.2021424901669786,5.14
0.47038,0.29924,1.0497394366860808,5.129
1.04345,0.7689,1.20694064159618,5.124
0.92053,0.74836,1.1657850540471224,5.123
1.15991,0.87519,1.2609251340263816,5.102
1.11312,0.72437,1.2086478970108985,5.098
0.70532,0.58114,1.1455977968582824,5.073
0.18847,0.43873,1.009272349127855,5.057
0.73479,0.60954,1.123835305236571,5.013
0.91851,0.73545,1.1670636375174273,5.007
0.08308,0.09131,0.9177280716720648,4.971
0.87867,0.81325,1.1667931468428383,4.959
0.83223,0.79081,1.1253527985868974,4.949
0.37545,0.07612,0.9601228053704968,4.898
0.89537,0.66825,1.166210661487799,4.885
0.59066,0.54909,1.094581118339072,4.876
0.82819,0.60268,1.1305390915043223,4.874
0.71206,0.07566,1.0240843370003387,4.867
1.15406,0.88213,1.190150764479157,4.857
1.02564,0.83947,1.1875793882015002,4.839
1.12094,0.75905,1.1872446721265586,4.8
0.59532,0.6951,1.08722911909387,4.788
0.39047,0.57379,1.0413779316402776,4.786
0.88113,0.73793,1.1260093891897396,4.739
