gdp_per_capita,family,freedom,life_expectancy,social_support,score
0.71206,1.07284,0.30658,0.07566,1.0240843370003387,4.867
1.15406,0.92933,0.07699,0.88213,1.1901507644791567,4.857
1.02564,0.80001,0.33916,0.83947,1.1875793882015002,4.839
1.12094,1.20215,0.32112,0.75905,1.1872446721265586,4.8
0.59532,0.95348,0.40148,0.6951,1.0872291190938699,4.788
0.39047,0.85563,0.47216,0.57379,1.0413779316402776,4.786
0.88113,0.60429,0.26268,0.73793,1.1260093891897396,4.739
0.59867,0.92558,0.24499,0.66015,1.0571417009477972,4.715
0.39753,0.43106,0.4082,0.60164,1.0270306376692442,4.694
1.0088,0.54447,0.30033,0.69805,1.144368158255783,4.686
0.79907,1.20278,0.25123,0.6739,1.0966507224765822,4.681
0.98549,0.81889,0.0,0.60237,1.095595543259885,4.677
0.92049,1.18468,0.33207,0.27688,1.0718118814089868,4.642
0.54558,0.67954,0.42342,0.40132,1.027412691161011,4.633
0.271,1.03276,0.25861,0.33475,0.9453489644203752,4.61
0.0712,0.78968,0.28531,0.34201,0.9056097663813394,4.571
0.64499,0.38174,0.39786,0.51529,1.051022474427299,4.565
0.52107,1.01404,0.10081,0.36878,0.9737347918503165,4.55
0.26673,0.74302,0.24425,0.38847,0.9396363653262272,4.518
0.0,1.0012,0.22605,0.09806,0.8497282303225193,4.517
0.35997,0.86449,0.38282,0.56874,0.9997214560828613,4.514
0.19073,0.60406,0.4345,0.44055,0.9576048457346491,4.512
0.33024,0.95571,0.4084,0.0,0.9232183484830601,4.507
0.45407,0.86908,0.24232,0.35874,0.964321062929228,4.436
0.36471,0.99876,0.42215,0.41435,0.9733244579284541,4.419
0.44025,0.59207,0.46074,0.36291,0.9772929765847675,4.369
0.76821,0.77711,0.19847,0.7299,1.0576033888768055,4.35
0.99355,1.10464,0.49495,0.04776,1.0406833453565942,4.332
0.27108,0.70905,0.44017,0.48246,0.9523016144488472,4.307
0.7419,0.38562,0.40577,0.72926,1.0708249129585143,4.297
0.01604,0.41134,0.43054,0.22562,0.8691679102176371,4.292
0.83524,1.01905,0.53726,0.70806,1.0989927304377596,4.271
0.4225,0.88767,0.49309,0.23402,0.9504410957190379,4.252
1.01216,1.10614,0.30587,0.76649,1.108075187546983,4.218
0.8818,0.747,0.17288,0.61712,1.0457188066609802,4.194
0.54649,0.68093,0.35571,0.40064,0.9527011302324118,4.077
0.75778,0.8604,0.10384,0.16683,0.9269237373629298,4.033
0.26074,1.03526,0.38857,0.20583,0.8638464716628864,3.995
0.67866,0.6629,0.41466,0.31051,0.9608360444722588,3.989
0.23906,0.79273,0.22917,0.36315,0.8590969957052998,3.956
0.21102,1.13299,0.45727,0.33861,0.8728864161339529,3.931
0.36498,0.97619,0.36772,0.4354,0.9017211392388109,3.904
1.06024,0.90528,0.31914,0.43372,1.0285255262329986,3.896
0.0694,0.77265,0.47692,0.29707,0.8314723785859832,3.845
0.46038,0.62736,0.66246,0.61114,0.9652165262028882,3.819
0.2852,1.00268,0.32878,0.38215,0.858658925475347,3.781
0.20824,0.66801,0.19184,0.46721,0.822695047851653,3.681
0.0785,0.0,0.48879,0.06699,0.7788723400435282,3.678
0.34193,0.76062,0.23501,0.1501,0.8114814590175088,3.667
0.17417,0.46475,0.37725,0.24009,0.8071423473418522,3.656
0.46534,0.77115,0.46866,0.15185,0.8625039060228314,3.655
0.25812,0.85188,0.39493,0.27125,0.8195652871041585,3.587
0.31982,0.30285,0.23414,0.30335,0.8171746959971808,3.575
0.22208,0.7737,0.59201,0.42864,0.8358132580248057,3.465
0.28665,0.35386,0.4845,0.3191,0.7992241443465562,3.34
0.6632,0.47489,0.15684,0.72193,0.8256247078491163,3.006
0.0153,0.41587,0.1185,0.22396,0.6140327146265326,2.905
0.20868,0.13995,0.36453,0.28443,0.6753721986461433,2.839
1.44178,1.16374,0.57941,0.79504,1.6203417567885008,7.526
1.52733,1.14524,0.58557,0.86303,1.6449087922859429,7.509
1.42666,1.18326,0.56624,0.86733,1.6244618012782892,7.501
1.57744,1.1269,0.59609,0.79579,1.6481250226768926,7.498
1.40598,1.13464,0.57104,0.81091,1.6002029547940606,7.413
1.44015,1.0961,0.5737,0.8276,1.6093006538323766,7.404
1.46468,1.02912,0.55211,0.81231,1.598810774000044,7.339
1.36066,1.17278,0.58147,0.83096,1.5856437658854392,7.334
1.44443,1.10476,0.56837,0.8512,1.6005790377232536,7.313
1.45181,1.08764,0.58218,0.83121,1.5984229152400051,7.291
1.33766,0.99537,0.36432,0.84917,1.5520480251358735,7.267
1.45038,1.08383,0.54355,0.80565,1.5609352381670851,7.119
1.50796,1.04782,0.48163,0.779,1.5603467642271092,7.104
1.06879,1.02152,0.55225,0.76146,1.4809173891533596,7.087
1.35943,1.08113,0.46823,0.77758,1.5215319010260029,7.039
1.44787,1.09774,0.53466,0.81487,1.543868163235907,6.994
1.08754,1.03938,0.40425,0.61415,1.4277564057300296,6.952
1.42539,1.05249,0.51354,0.81959,1.5289760382343018,6.929
1.48341,1.16157,0.54008,0.81455,1.5398613149355438,6.907
1.69752,1.03999,0.5487,0.84542,1.5805250039907408,6.871
1.11508,0.7146,0.37709,0.71143,1.4166952790724814,6.778
1.64555,0.86758,0.4877,0.94719,1.5556486052240677,6.739
1.40283,1.08672,0.50036,0.80991,1.4916930987060726,6.725
1.2167,0.90587,0.37789,0.81883,1.441820427772087,6.705
1.18306,0.98912,0.48927,0.70835,1.4341106346729215,6.701
1.15137,1.06612,0.42284,0.69711,1.4111762833910395,6.65
1.30915,1.00793,0.41418,0.76376,1.4405207191946137,6.596
1.57352,0.87114,0.56215,0.72993,1.5001182580740327,6.573
1.18157,1.03143,0.54388,0.72183,1.4189092238671248,6.545
1.30782,1.09879,0.54994,0.80315,1.445280982781085,6.488
1.03032,1.02169,0.44735,0.59659,1.3539725483641922,6.481
1.39488,1.00508,0.46562,0.83795,1.458782396308653,6.478
1.0893,1.04477,0.49553,0.64915,1.3798417118235669,6.474
1.48953,0.84829,0.37904,0.59267,1.4189260564580521,6.379
1.39729,0.92624,0.32377,0.79565,1.4223494500603528,6.379
1.82427,0.87964,0.56679,0.71723,1.522956024808628,6.375
1.34253,1.12945,0.37545,0.87896,1.4307849294063322,6.361
1.05266,0.83309,0.21006,0.61804,1.3230625199165231,6.355
0.83454,0.87119,0.50379,0.54039,1.2997767292388949,6.324
1.09686,0.77866,0.52234,0.50933,1.338780250652961,6.269
1.61714,0.87758,0.43166,0.63569,1.440499398356063,6.239
1.44024,0.94397,0.47375,0.65696,1.4121646852519485,6.218
1.32572,0.98569,0.48453,0.52608,1.366294061440128,6.168
1.13367,1.03302,0.19847,0.61904,1.2959806756067715,6.084
1.27973,1.08268,0.23391,0.70367,1.3396522575223506,6.078
0.8737,0.80975,0.37269,0.596,1.2634219866659802,6.068
1.25142,0.88025,0.39031,0.62366,1.3305629476363612,6.005
0.69384,0.89521,0.46582,0.65213,1.236084285271746,5.992
